District,Zone,Geographical Region,Development Region,Year BS,Year AD,Diseases,Value
Bhojpur,Kosi,Hill,Eastern,2066/67,2009/10,Measles,16
Bhojpur,Kosi,Hill,Eastern,2066/67,2009/10,Diptheria,0
Bhojpur,Kosi,Hill,Eastern,2066/67,2009/10,Whooping cough,19
Bhojpur,Kosi,Hill,Eastern,2066/67,2009/10,Neonatal Tetanus,0
Bhojpur,Kosi,Hill,Eastern,2066/67,2009/10,Tetanus,3
Bhojpur,Kosi,Hill,Eastern,2066/67,2009/10,Tuberculosis,21
Bhojpur,Kosi,Hill,Eastern,2066/67,2009/10,Acute Flacid Paralysis,2
Bhojpur,Kosi,Hill,Eastern,2066/67,2009/10,Rubella,10
Bhojpur,Kosi,Hill,Eastern,2066/67,2009/10,Mumps,443
Bhojpur,Kosi,Hill,Eastern,2066/67,2009/10,Chicken pox,143
Bhojpur,Kosi,Hill,Eastern,2066/67,2009/10,Hepatatis-B,1
Dhankuta,Kosi,Hill,Eastern,2066/67,2009/10,Measles,40
Dhankuta,Kosi,Hill,Eastern,2066/67,2009/10,Diptheria,0
Dhankuta,Kosi,Hill,Eastern,2066/67,2009/10,Whooping cough,1
Dhankuta,Kosi,Hill,Eastern,2066/67,2009/10,Neonatal Tetanus,0
Dhankuta,Kosi,Hill,Eastern,2066/67,2009/10,Tetanus,0
Dhankuta,Kosi,Hill,Eastern,2066/67,2009/10,Tuberculosis,10
Dhankuta,Kosi,Hill,Eastern,2066/67,2009/10,Acute Flacid Paralysis,0
Dhankuta,Kosi,Hill,Eastern,2066/67,2009/10,Rubella,22
Dhankuta,Kosi,Hill,Eastern,2066/67,2009/10,Mumps,415
Dhankuta,Kosi,Hill,Eastern,2066/67,2009/10,Chicken pox,424
Dhankuta,Kosi,Hill,Eastern,2066/67,2009/10,Hepatatis-B,0
Ilam,Mechi,Hill,Eastern,2066/67,2009/10,Measles,58
Ilam,Mechi,Hill,Eastern,2066/67,2009/10,Diptheria,0
Ilam,Mechi,Hill,Eastern,2066/67,2009/10,Whooping cough,1
Ilam,Mechi,Hill,Eastern,2066/67,2009/10,Neonatal Tetanus,0
Ilam,Mechi,Hill,Eastern,2066/67,2009/10,Tetanus,0
Ilam,Mechi,Hill,Eastern,2066/67,2009/10,Tuberculosis,80
Ilam,Mechi,Hill,Eastern,2066/67,2009/10,Acute Flacid Paralysis,1
Ilam,Mechi,Hill,Eastern,2066/67,2009/10,Rubella,29
Ilam,Mechi,Hill,Eastern,2066/67,2009/10,Mumps,380
