Year,District,Communicable and infectious disease,Number of people
2009/010,Bhojpur,ARI /Lower respiratory tract infection,13490
2009/010,Bhojpur,Upper respiratory Tract infection,5992
2009/010,Bhojpur,Pneumonia,6910
2009/010,Bhojpur,Server Pneumonia,242
2009/010,Bhojpur,Bronchitis,3191
2009/010,Bhojpur,Asthma,3118
2009/010,Bhojpur,Urinary Tract infection,2594
2009/010,Bhojpur,Viral Influenza,1790
2009/010,Bhojpur,Reproductive Tract Infection male,74
2009/010,Bhojpur,Reproductive tract infection female,229
2009/010,Dhankuta,ARI /Lower respiratory tract infection,7157
2009/010,Dhankuta,Upper respiratory Tract infection,4019
2009/010,Dhankuta,Pneumonia,5056
2009/010,Dhankuta,Server Pneumonia,110
2009/010,Dhankuta,Bronchitis,2625
2009/010,Dhankuta,Asthma,1493
2009/010,Dhankuta,Urinary Tract infection,1380
2009/010,Dhankuta,Viral Influenza,1273
2009/010,Dhankuta,Reproductive Tract Infection male,6
2009/010,Dhankuta,Reproductive tract infection female,63
2009/010,Ilam,ARI /Lower respiratory tract infection,8802
2009/010,Ilam,Upper respiratory Tract infection,7682
2009/010,Ilam,Pneumonia,5394
2009/010,Ilam,Server Pneumonia,291
2009/010,Ilam,Bronchitis,1515
2009/010,Ilam,Asthma,1579
2009/010,Ilam,Urinary Tract infection,1745
2009/010,Ilam,Viral Influenza,3744
2009/010,Ilam,Reproductive Tract Infection male,84
2009/010,Ilam,Reproductive tract infection female,164
2009/010,Jhapa,ARI /Lower respiratory tract infection,21951
2009/010,Jhapa,Upper respiratory Tract infection,33588
2009/010,Jhapa,Pneumonia,14501
2009/010,Jhapa,Server Pneumonia,1205
2009/010,Jhapa,Bronchitis,7298
2009/010,Jhapa,Asthma,5969
2009/010,Jhapa,Urinary Tract infection,8600
2009/010,Jhapa,Viral Influenza,9527
2009/010,Jhapa,Reproductive Tract Infection male,393
2009/010,Jhapa,Reproductive tract infection female,635
2009/010,Khotang,ARI /Lower respiratory tract infection,11472
2009/010,Khotang,Upper respiratory Tract infection,9835
2009/010,Khotang,Pneumonia,6826
2009/010,Khotang,Server Pneumonia,471
2009/010,Khotang,Bronchitis,2992
2009/010,Khotang,Asthma,3508
2009/010,Khotang,Urinary Tract infection,3100
2009/010,Khotang,Viral Influenza,811
2009/010,Khotang,Reproductive Tract Infection male,80
2009/010,Khotang,Reproductive tract infection female,145
2009/010,Morang,ARI /Lower respiratory tract infection,29984
2009/010,Morang,Upper respiratory Tract infection,26767
2009/010,Morang,Pneumonia,12185
2009/010,Morang,Server Pneumonia,645
2009/010,Morang,Bronchitis,7842
2009/010,Morang,Asthma,5541
2009/010,Morang,Urinary Tract infection,11978
2009/010,Morang,Viral Influenza,2867
2009/010,Morang,Reproductive Tract Infection male,374
2009/010,Morang,Reproductive tract infection female,488
2009/010,Okhaldhunga,ARI /Lower respiratory tract infection,16122
2009/010,Okhaldhunga,Upper respiratory Tract infection,13082
2009/010,Okhaldhunga,Pneumonia,6836
2009/010,Okhaldhunga,Server Pneumonia,336
2009/010,Okhaldhunga,Bronchitis,3441
2009/010,Okhaldhunga,Asthma,4105
2009/010,Okhaldhunga,Urinary Tract infection,3069
2009/010,Okhaldhunga,Viral Influenza,1177
2009/010,Okhaldhunga,Reproductive Tract Infection male,40
2009/010,Okhaldhunga,Reproductive tract infection female,294
2009/010,Panchthar,ARI /Lower respiratory tract infection,8205
2009/010,Panchthar,Upper respiratory Tract infection,6140
2009/010,Panchthar,Pneumonia,5709
2009/010,Panchthar,Server Pneumonia,341
2009/010,Panchthar,Bronchitis,1490
2009/010,Panchthar,Asthma,1604
2009/010,Panchthar,Urinary Tract infection,1211
2009/010,Panchthar,Viral Influenza,587
2009/010,Panchthar,Reproductive Tract Infection male,26
2009/010,Panchthar,Reproductive tract infection female,36
2009/010,Sankhuwasabha,ARI /Lower respiratory tract infection,10112
2009/010,Sankhuwasabha,Upper respiratory Tract infection,7286
2009/010,Sankhuwasabha,Pneumonia,5702
2009/010,Sankhuwasabha,Server Pneumonia,141
2009/010,Sankhuwasabha,Bronchitis,1087
2009/010,Sankhuwasabha,Asthma,2110
2009/010,Sankhuwasabha,Urinary Tract infection,2399
2009/010,Sankhuwasabha,Viral Influenza,622
2009/010,Sankhuwasabha,Reproductive Tract Infection male,104
2009/010,Sankhuwasabha,Reproductive tract infection female,193
2009/010,Saptari,ARI /Lower respiratory tract infection,35796
2009/010,Saptari,Upper respiratory Tract infection,22835
2009/010,Saptari,Pneumonia,12328
2009/010,Saptari,Server Pneumonia,265
2009/010,Saptari,Bronchitis,12298
2009/010,Saptari,Asthma,9521
2009/010,Saptari,Urinary Tract infection,6117
2009/010,Saptari,Viral Influenza,6339
2009/010,Saptari,Reproductive Tract Infection male,108
2009/010,Saptari,Reproductive tract infection female,308
2009/010,Siraha,ARI /Lower respiratory tract infection,30568
2009/010,Siraha,Upper respiratory Tract infection,28282
2009/010,Siraha,Pneumonia,14386
2009/010,Siraha,Server Pneumonia,677
2009/010,Siraha,Bronchitis,12588
2009/010,Siraha,Asthma,8811
2009/010,Siraha,Urinary Tract infection,6585
2009/010,Siraha,Viral Influenza,3791
2009/010,Siraha,Reproductive Tract Infection male,102
2009/010,Siraha,Reproductive tract infection female,171
2009/010,Solukhumbu,ARI /Lower respiratory tract infection,7358
2009/010,Solukhumbu,Upper respiratory Tract infection,8259
2009/010,Solukhumbu,Pneumonia,2385
2009/010,Solukhumbu,Server Pneumonia,180
2009/010,Solukhumbu,Bronchitis,2499
2009/010,Solukhumbu,Asthma,2382
2009/010,Solukhumbu,Urinary Tract infection,2094
2009/010,Solukhumbu,Viral Influenza,164
2009/010,Solukhumbu,Reproductive Tract Infection male,98
2009/010,Solukhumbu,Reproductive tract infection female,160
2009/010,Sunsari,ARI /Lower respiratory tract infection,36345
2009/010,Sunsari,Upper respiratory Tract infection,27927
2009/010,Sunsari,Pneumonia,18023
2009/010,Sunsari,Server Pneumonia,696
2009/010,Sunsari,Bronchitis,4228
2009/010,Sunsari,Asthma,5365
2009/010,Sunsari,Urinary Tract infection,4056
2009/010,Sunsari,Viral Influenza,2489
2009/010,Sunsari,Reproductive Tract Infection male,99
2009/010,Sunsari,Reproductive tract infection female,171
2009/010,Taplejung,ARI /Lower respiratory tract infection,8308
2009/010,Taplejung,Upper respiratory Tract infection,7036
2009/010,Taplejung,Pneumonia,4861
2009/010,Taplejung,Server Pneumonia,357
2009/010,Taplejung,Bronchitis,1601
2009/010,Taplejung,Asthma,1943
2009/010,Taplejung,Urinary Tract infection,2103
2009/010,Taplejung,Viral Influenza,1287
2009/010,Taplejung,Reproductive Tract Infection male,63
2009/010,Taplejung,Reproductive tract infection female,94
2009/010,Teharthum,ARI /Lower respiratory tract infection,5014
2009/010,Teharthum,Upper respiratory Tract infection,6492
2009/010,Teharthum,Pneumonia,3836
2009/010,Teharthum,Server Pneumonia,74
2009/010,Teharthum,Bronchitis,1906
2009/010,Teharthum,Asthma,1362
2009/010,Teharthum,Urinary Tract infection,1326
2009/010,Teharthum,Viral Influenza,870
2009/010,Teharthum,Reproductive Tract Infection male,64
2009/010,Teharthum,Reproductive tract infection female,80
2009/010,Udaypur,ARI /Lower respiratory tract infection,8077
2009/010,Udaypur,Upper respiratory Tract infection,5944
2009/010,Udaypur,Pneumonia,4104
2009/010,Udaypur,Server Pneumonia,223
2009/010,Udaypur,Bronchitis,3462
2009/010,Udaypur,Asthma,2485
2009/010,Udaypur,Urinary Tract infection,2603
2009/010,Udaypur,Viral Influenza,1562
2009/010,Udaypur,Reproductive Tract Infection male,167
2009/010,Udaypur,Reproductive tract infection female,269
2009/010,Bara,ARI /Lower respiratory tract infection,17293
2009/010,Bara,Upper respiratory Tract infection,14895
2009/010,Bara,Pneumonia,7476
2009/010,Bara,Server Pneumonia,597
2009/010,Bara,Bronchitis,8218
2009/010,Bara,Asthma,9115
2009/010,Bara,Urinary Tract infection,4324
2009/010,Bara,Viral Influenza,1284
2009/010,Bara,Reproductive Tract Infection male,173
2009/010,Bara,Reproductive tract infection female,502
2009/010,Bhaktapur,ARI /Lower respiratory tract infection,6730
2009/010,Bhaktapur,Upper respiratory Tract infection,7861
2009/010,Bhaktapur,Pneumonia,2787
2009/010,Bhaktapur,Server Pneumonia,26
2009/010,Bhaktapur,Bronchitis,1170
2009/010,Bhaktapur,Asthma,2406
2009/010,Bhaktapur,Urinary Tract infection,1493
2009/010,Bhaktapur,Viral Influenza,1607
2009/010,Bhaktapur,Reproductive Tract Infection male,47
2009/010,Bhaktapur,Reproductive tract infection female,55
2009/010,Chitwan,ARI /Lower respiratory tract infection,13222
2009/010,Chitwan,Upper respiratory Tract infection,12853
2009/010,Chitwan,Pneumonia,7452
2009/010,Chitwan,Server Pneumonia,225
2009/010,Chitwan,Bronchitis,3514
2009/010,Chitwan,Asthma,5214
2009/010,Chitwan,Urinary Tract infection,4767
2009/010,Chitwan,Viral Influenza,2487
2009/010,Chitwan,Reproductive Tract Infection male,821
2009/010,Chitwan,Reproductive tract infection female,1251
2009/010,Dhading,ARI /Lower respiratory tract infection,15449
2009/010,Dhading,Upper respiratory Tract infection,11236
2009/010,Dhading,Pneumonia,8163
2009/010,Dhading,Server Pneumonia,480
2009/010,Dhading,Bronchitis,4059
2009/010,Dhading,Asthma,6057
2009/010,Dhading,Urinary Tract infection,2853
2009/010,Dhading,Viral Influenza,4603
2009/010,Dhading,Reproductive Tract Infection male,130
2009/010,Dhading,Reproductive tract infection female,358
