District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Sub-Indicator,Sub-Indicator,Value
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,HIV,Total,468
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,HIV,+Ve,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,HCV,Total,87
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,HCV,+Ve,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Western Bloot,Total,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Western Bloot,+Ve,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,HBsAg,Total,305
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,HBsAg,+Ve,5
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,HEV,Total,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,HEV,+Ve,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,CD4 count,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Viral Load,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Others,,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,HIV,Total,19
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,HIV,+Ve,1
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,HCV,Total,1
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,HCV,+Ve,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Western Bloot,Total,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Western Bloot,+Ve,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,HBsAg,Total,16
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,HBsAg,+Ve,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,HEV,Total,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,HEV,+Ve,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,CD4 count,,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Viral Load,,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Others,,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,HIV,Total,840
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,HIV,+Ve,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,HCV,Total,91
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,HCV,+Ve,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Western Bloot,Total,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Western Bloot,+Ve,3
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,HBsAg,Total,996
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,HBsAg,+Ve,1
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,HEV,Total,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,HEV,+Ve,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,CD4 count,,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Viral Load,,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Others,,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,HIV,Total,12418
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,HIV,+Ve,1008
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,HCV,Total,1564
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,HCV,+Ve,101
