District Name,Zone,Ecological Belt,Development Region,Year (B.S),Year (A.D),Indicator,Sub-Indicator,Value
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,CDD Incidence  per 1000,,714.45
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Dehydration (Mild and Severe) among new Cases,,79.42
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Severe Dehydration among new Cases,,0.18
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,% Treated With,ORS,98.21
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,% Treated With,IV Fluid,1.79
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,CDD Case Fatality,IV Fluid,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,% of CDD Cases at,HF,35.67
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,% of CDD Cases at,VHW/MCHW,25.22
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,% of CDD Cases at,FCHV,39.11
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,CDD Incidence  per 1000,,483.76
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Dehydration (Mild and Severe) among new Cases,,88.36
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Severe Dehydration among new Cases,,0.12
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,% Treated With,ORS,98.25
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,% Treated With,IV Fluid,1.75
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,CDD Case Fatality,IV Fluid,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,% of CDD Cases at,HF,21.8
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,% of CDD Cases at,VHW/MCHW,14.82
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,% of CDD Cases at,FCHV,63.37
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,CDD Incidence  per 1000,,487.8
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Dehydration (Mild and Severe) among new Cases,,78.48
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Severe Dehydration among new Cases,,0.05
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,% Treated With,ORS,99.5
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,% Treated With,IV Fluid,0.5
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,CDD Case Fatality,IV Fluid,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,% of CDD Cases at,HF,9.94
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,% of CDD Cases at,VHW/MCHW,19.33
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,% of CDD Cases at,FCHV,70.73
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,CDD Incidence  per 1000,,603.91
