District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator,Sub-Indicator,Sub-Indicator,Sub-Indicator,Value
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Suspected/Possible Malaria,Under 5 Years,Female,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Suspected/Possible Malaria,Under 5 Years,Male,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Suspected/Possible Malaria,5 Years & Above,Female,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Suspected/Possible Malaria,5 Years & Above,Male,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Suspected/Possible Malaria,Total,Female,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Suspected/Possible Malaria,Total,Male,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Confirmed Serious Malaria,Under 5 Years,Female,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Confirmed Serious Malaria,Under 5 Years,Male,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Confirmed Serious Malaria,5 Years & Above,Female,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Confirmed Serious Malaria,5 Years & Above,Male,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Confirmed Serious Malaria,Total,Female,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Confirmed Serious Malaria,Total,Male,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Death,Suspected/Possible,Under 5 Years,Female,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Death,Suspected/Possible,Under 5 Years,Male,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Death,Suspected/Possible,5 Years & Above,Female,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Death,Suspected/Possible,5 Years & Above,Male,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Death,Suspected/Possible,Total,Female,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Death,Suspected/Possible,Total,Male,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Death,Confirmed PF,Under 5 Years,Female,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Death,Confirmed PF,Under 5 Years,Male,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Death,Confirmed PF,5 Years & Above,Female,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Death,Confirmed PF,5 Years & Above,Male,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Death,Confirmed PF,Total,Female,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Death,Confirmed PF,Total,Male,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Suspected/Possible Malaria,Under 5 Years,Female,,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Suspected/Possible Malaria,Under 5 Years,Male,,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Suspected/Possible Malaria,5 Years & Above,Female,,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Suspected/Possible Malaria,5 Years & Above,Male,,1
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Suspected/Possible Malaria,Total,Female,,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Suspected/Possible Malaria,Total,Male,,1
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Confirmed Serious Malaria,Under 5 Years,Female,,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Confirmed Serious Malaria,Under 5 Years,Male,,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Confirmed Serious Malaria,5 Years & Above,Female,,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Confirmed Serious Malaria,5 Years & Above,Male,,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Confirmed Serious Malaria,Total,Female,,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Confirmed Serious Malaria,Total,Male,,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Death,Suspected/Possible,Under 5 Years,Female,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Death,Suspected/Possible,Under 5 Years,Male,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Death,Suspected/Possible,5 Years & Above,Female,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Death,Suspected/Possible,5 Years & Above,Male,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Death,Suspected/Possible,Total,Female,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Death,Suspected/Possible,Total,Male,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Death,Confirmed PF,Under 5 Years,Female,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Death,Confirmed PF,Under 5 Years,Male,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Death,Confirmed PF,5 Years & Above,Female,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Death,Confirmed PF,5 Years & Above,Male,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Death,Confirmed PF,Total,Female,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Death,Confirmed PF,Total,Male,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Suspected/Possible Malaria,Under 5 Years,Female,,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Suspected/Possible Malaria,Under 5 Years,Male,,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Suspected/Possible Malaria,5 Years & Above,Female,,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Suspected/Possible Malaria,5 Years & Above,Male,,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Suspected/Possible Malaria,Total,Female,,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Suspected/Possible Malaria,Total,Male,,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Confirmed Serious Malaria,Under 5 Years,Female,,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Confirmed Serious Malaria,Under 5 Years,Male,,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Confirmed Serious Malaria,5 Years & Above,Female,,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Confirmed Serious Malaria,5 Years & Above,Male,,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Confirmed Serious Malaria,Total,Female,,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Confirmed Serious Malaria,Total,Male,,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Death,Suspected/Possible,Under 5 Years,Female,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Death,Suspected/Possible,Under 5 Years,Male,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Death,Suspected/Possible,5 Years & Above,Female,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Death,Suspected/Possible,5 Years & Above,Male,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Death,Suspected/Possible,Total,Female,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Death,Suspected/Possible,Total,Male,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Death,Confirmed PF,Under 5 Years,Female,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Death,Confirmed PF,Under 5 Years,Male,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Death,Confirmed PF,5 Years & Above,Female,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Death,Confirmed PF,5 Years & Above,Male,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Death,Confirmed PF,Total,Female,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Death,Confirmed PF,Total,Male,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Suspected/Possible Malaria,Under 5 Years,Female,,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Suspected/Possible Malaria,Under 5 Years,Male,,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Suspected/Possible Malaria,5 Years & Above,Female,,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Suspected/Possible Malaria,5 Years & Above,Male,,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Suspected/Possible Malaria,Total,Female,,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Suspected/Possible Malaria,Total,Male,,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Confirmed Serious Malaria,Under 5 Years,Female,,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Confirmed Serious Malaria,Under 5 Years,Male,,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Confirmed Serious Malaria,5 Years & Above,Female,,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Confirmed Serious Malaria,5 Years & Above,Male,,1
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Confirmed Serious Malaria,Total,Female,,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Confirmed Serious Malaria,Total,Male,,1
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Death,Suspected/Possible,Under 5 Years,Female,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Death,Suspected/Possible,Under 5 Years,Male,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Death,Suspected/Possible,5 Years & Above,Female,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Death,Suspected/Possible,5 Years & Above,Male,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Death,Suspected/Possible,Total,Female,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Death,Suspected/Possible,Total,Male,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Death,Confirmed PF,Under 5 Years,Female,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Death,Confirmed PF,Under 5 Years,Male,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Death,Confirmed PF,5 Years & Above,Female,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Death,Confirmed PF,5 Years & Above,Male,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Death,Confirmed PF,Total,Female,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Death,Confirmed PF,Total,Male,0
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Suspected/Possible Malaria,Under 5 Years,Female,,0
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Suspected/Possible Malaria,Under 5 Years,Male,,0
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Suspected/Possible Malaria,5 Years & Above,Female,,0
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Suspected/Possible Malaria,5 Years & Above,Male,,3
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Suspected/Possible Malaria,Total,Female,,0
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Suspected/Possible Malaria,Total,Male,,3
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Confirmed Serious Malaria,Under 5 Years,Female,,0
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Confirmed Serious Malaria,Under 5 Years,Male,,0
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Confirmed Serious Malaria,5 Years & Above,Female,,0
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Confirmed Serious Malaria,5 Years & Above,Male,,0
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Confirmed Serious Malaria,Total,Female,,0
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Confirmed Serious Malaria,Total,Male,,0
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Death,Suspected/Possible,Under 5 Years,Female,0
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Death,Suspected/Possible,Under 5 Years,Male,0
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Death,Suspected/Possible,5 Years & Above,Female,0
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Death,Suspected/Possible,5 Years & Above,Male,0
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Death,Suspected/Possible,Total,Female,0
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Death,Suspected/Possible,Total,Male,0
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Death,Confirmed PF,Under 5 Years,Female,0
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Death,Confirmed PF,Under 5 Years,Male,0
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Death,Confirmed PF,5 Years & Above,Female,0
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Death,Confirmed PF,5 Years & Above,Male,0
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Death,Confirmed PF,Total,Female,0
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Death,Confirmed PF,Total,Male,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Suspected/Possible Malaria,Under 5 Years,Female,,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Suspected/Possible Malaria,Under 5 Years,Male,,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Suspected/Possible Malaria,5 Years & Above,Female,,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Suspected/Possible Malaria,5 Years & Above,Male,,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Suspected/Possible Malaria,Total,Female,,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Suspected/Possible Malaria,Total,Male,,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Confirmed Serious Malaria,Under 5 Years,Female,,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Confirmed Serious Malaria,Under 5 Years,Male,,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Confirmed Serious Malaria,5 Years & Above,Female,,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Confirmed Serious Malaria,5 Years & Above,Male,,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Confirmed Serious Malaria,Total,Female,,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Confirmed Serious Malaria,Total,Male,,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Death,Suspected/Possible,Under 5 Years,Female,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Death,Suspected/Possible,Under 5 Years,Male,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Death,Suspected/Possible,5 Years & Above,Female,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Death,Suspected/Possible,5 Years & Above,Male,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Death,Suspected/Possible,Total,Female,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Death,Suspected/Possible,Total,Male,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Death,Confirmed PF,Under 5 Years,Female,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Death,Confirmed PF,Under 5 Years,Male,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Death,Confirmed PF,5 Years & Above,Female,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Death,Confirmed PF,5 Years & Above,Male,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Death,Confirmed PF,Total,Female,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Death,Confirmed PF,Total,Male,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Suspected/Possible Malaria,Under 5 Years,Female,,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Suspected/Possible Malaria,Under 5 Years,Male,,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Suspected/Possible Malaria,5 Years & Above,Female,,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Suspected/Possible Malaria,5 Years & Above,Male,,2
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Suspected/Possible Malaria,Total,Female,,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Suspected/Possible Malaria,Total,Male,,2
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Confirmed Serious Malaria,Under 5 Years,Female,,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Confirmed Serious Malaria,Under 5 Years,Male,,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Confirmed Serious Malaria,5 Years & Above,Female,,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Confirmed Serious Malaria,5 Years & Above,Male,,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Confirmed Serious Malaria,Total,Female,,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Confirmed Serious Malaria,Total,Male,,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Death,Suspected/Possible,Under 5 Years,Female,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Death,Suspected/Possible,Under 5 Years,Male,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Death,Suspected/Possible,5 Years & Above,Female,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Death,Suspected/Possible,5 Years & Above,Male,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Death,Suspected/Possible,Total,Female,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Death,Suspected/Possible,Total,Male,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Death,Confirmed PF,Under 5 Years,Female,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Death,Confirmed PF,Under 5 Years,Male,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Death,Confirmed PF,5 Years & Above,Female,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Death,Confirmed PF,5 Years & Above,Male,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Death,Confirmed PF,Total,Female,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Death,Confirmed PF,Total,Male,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Suspected/Possible Malaria,Under 5 Years,Female,,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Suspected/Possible Malaria,Under 5 Years,Male,,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Suspected/Possible Malaria,5 Years & Above,Female,,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Suspected/Possible Malaria,5 Years & Above,Male,,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Suspected/Possible Malaria,Total,Female,,0
