District,Year,Gynecological Problem,Number of people
Bhojpur,2066/67,Prolapsed uterus,102
Bhojpur,2066/67,Pelvic Inflamatory Disease (PID),308
Bhojpur,2066/67,Leukerrhoea (Veginal discharge syndrom,194
Bhojpur,2066/67,Menstrual disorder,389
Bhojpur,2066/67,Disfunctional uterine bleeding,208
Bhojpur,2066/67,Breast lumps / Breast Abscess,248
Bhojpur,2066/67,Mastitis (Ingorged breast),62
Dhankuta,2066/67,Prolapsed uterus,145
Dhankuta,2066/67,Pelvic Inflamatory Disease (PID),365
Dhankuta,2066/67,Leukerrhoea (Veginal discharge syndrom,216
Dhankuta,2066/67,Menstrual disorder,325
Dhankuta,2066/67,Disfunctional uterine bleeding,247
Dhankuta,2066/67,Breast lumps / Breast Abscess,109
Dhankuta,2066/67,Mastitis (Ingorged breast),67
Ilam,2066/67,Prolapsed uterus,60
Ilam,2066/67,Pelvic Inflamatory Disease (PID),394
Ilam,2066/67,Leukerrhoea (Veginal discharge syndrom,337
Ilam,2066/67,Menstrual disorder,530
Ilam,2066/67,Disfunctional uterine bleeding,257
Ilam,2066/67,Breast lumps / Breast Abscess,123
Ilam,2066/67,Mastitis (Ingorged breast),66
Jhapa,2066/67,Prolapsed uterus,419
Jhapa,2066/67,Pelvic Inflamatory Disease (PID),2066
Jhapa,2066/67,Leukerrhoea (Veginal discharge syndrom,1803
Jhapa,2066/67,Menstrual disorder,1842
Jhapa,2066/67,Disfunctional uterine bleeding,621
Jhapa,2066/67,Breast lumps / Breast Abscess,1276
Jhapa,2066/67,Mastitis (Ingorged breast),762
Khotang,2066/67,Prolapsed uterus,228
Khotang,2066/67,Pelvic Inflamatory Disease (PID),1090
Khotang,2066/67,Leukerrhoea (Veginal discharge syndrom,394
Khotang,2066/67,Menstrual disorder,625
Khotang,2066/67,Disfunctional uterine bleeding,288
Khotang,2066/67,Breast lumps / Breast Abscess,360
Khotang,2066/67,Mastitis (Ingorged breast),140
Morang,2066/67,Prolapsed uterus,983
Morang,2066/67,Pelvic Inflamatory Disease (PID),1666
Morang,2066/67,Leukerrhoea (Veginal discharge syndrom,1487
Morang,2066/67,Menstrual disorder,3208
Morang,2066/67,Disfunctional uterine bleeding,1153
Morang,2066/67,Breast lumps / Breast Abscess,560
Morang,2066/67,Mastitis (Ingorged breast),283
Okhaldhunga,2066/67,Prolapsed uterus,372
Okhaldhunga,2066/67,Pelvic Inflamatory Disease (PID),537
Okhaldhunga,2066/67,Leukerrhoea (Veginal discharge syndrom,242
Okhaldhunga,2066/67,Menstrual disorder,735
Okhaldhunga,2066/67,Disfunctional uterine bleeding,167
Okhaldhunga,2066/67,Breast lumps / Breast Abscess,150
Okhaldhunga,2066/67,Mastitis (Ingorged breast),54
Panchthar,2066/67,Prolapsed uterus,133
Panchthar,2066/67,Pelvic Inflamatory Disease (PID),527
Panchthar,2066/67,Leukerrhoea (Veginal discharge syndrom,110
Panchthar,2066/67,Menstrual disorder,276
Panchthar,2066/67,Disfunctional uterine bleeding,242
Panchthar,2066/67,Breast lumps / Breast Abscess,141
Panchthar,2066/67,Mastitis (Ingorged breast),31
Sankhuwasabha,2066/67,Prolapsed uterus,132
Sankhuwasabha,2066/67,Pelvic Inflamatory Disease (PID),1401
Sankhuwasabha,2066/67,Leukerrhoea (Veginal discharge syndrom,300
Sankhuwasabha,2066/67,Menstrual disorder,923
Sankhuwasabha,2066/67,Disfunctional uterine bleeding,291
Sankhuwasabha,2066/67,Breast lumps / Breast Abscess,134
Sankhuwasabha,2066/67,Mastitis (Ingorged breast),104
Saptari,2066/67,Prolapsed uterus,574
Saptari,2066/67,Pelvic Inflamatory Disease (PID),416
Saptari,2066/67,Leukerrhoea (Veginal discharge syndrom,1672
Saptari,2066/67,Menstrual disorder,778
Saptari,2066/67,Disfunctional uterine bleeding,233
Saptari,2066/67,Breast lumps / Breast Abscess,428
Saptari,2066/67,Mastitis (Ingorged breast),101
Siraha,2066/67,Prolapsed uterus,126
Siraha,2066/67,Pelvic Inflamatory Disease (PID),646
Siraha,2066/67,Leukerrhoea (Veginal discharge syndrom,1286
Siraha,2066/67,Menstrual disorder,813
Siraha,2066/67,Disfunctional uterine bleeding,566
Siraha,2066/67,Breast lumps / Breast Abscess,355
Siraha,2066/67,Mastitis (Ingorged breast),99
Solukhumbu,2066/67,Prolapsed uterus,54
Solukhumbu,2066/67,Pelvic Inflamatory Disease (PID),177
Solukhumbu,2066/67,Leukerrhoea (Veginal discharge syndrom,186
Solukhumbu,2066/67,Menstrual disorder,346
Solukhumbu,2066/67,Disfunctional uterine bleeding,165
Solukhumbu,2066/67,Breast lumps / Breast Abscess,52
Solukhumbu,2066/67,Mastitis (Ingorged breast),48
Sunsari,2066/67,Prolapsed uterus,194
Sunsari,2066/67,Pelvic Inflamatory Disease (PID),662
Sunsari,2066/67,Leukerrhoea (Veginal discharge syndrom,1291
Sunsari,2066/67,Menstrual disorder,993
Sunsari,2066/67,Disfunctional uterine bleeding,440
Sunsari,2066/67,Breast lumps / Breast Abscess,199
Sunsari,2066/67,Mastitis (Ingorged breast),92
Taplejung,2066/67,Prolapsed uterus,62
