District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator,Sub-Indicator,Sub-Indicator,Value
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Classification and Treatment for Less than 2 Months,Total,,1295
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Classification and Treatment for Less than 2 Months,SBI,,54
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Classification and Treatment for Less than 2 Months,LBI,,808
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Classification and Treatment for Less than 2 Months,Jundice,,99
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Classification and Treatment for Less than 2 Months,Hyperthermia,,1
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Classification and Treatment for Less than 2 Months,Feeding Problem/Low Weight,,283
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Classification and Treatment for Less than 2 Months,Treatment by Cotrim,,719
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Classification and Treatment for Less than 2 Months,Treatment by Zentamycine,,85
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Classification and Treatment for Less than 2 Months,Reffer,,58
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Classification and Treatment for Less than 2 Months,Death Cases,,3
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Classification and Treatment for Greater than 2 Months and Less than 5 years,Total,,15095
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Classification and Treatment for Greater than 2 Months and Less than 5 years,Very Severe Disease/Severe Pneumonia,,50
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Classification and Treatment for Greater than 2 Months and Less than 5 years,Pneumonia,,872
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Classification and Treatment for Greater than 2 Months and Less than 5 years,No Pneumonia,,3921
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Classification and Treatment for Greater than 2 Months and Less than 5 years,Sever Dehydration,,24
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Classification and Treatment for Greater than 2 Months and Less than 5 years,Some Dehydration,,2292
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Classification and Treatment for Greater than 2 Months and Less than 5 years,No Dedehydration,,2505
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Classification and Treatment for Greater than 2 Months and Less than 5 years,Dysantry/Blood,,1854
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Classification and Treatment for Greater than 2 Months and Less than 5 years,Severe Fever,,393
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Classification and Treatment for Greater than 2 Months and Less than 5 years,Malaria,,190
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Classification and Treatment for Greater than 2 Months and Less than 5 years,Other Fever,,944
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Classification and Treatment for Greater than 2 Months and Less than 5 years,Ear Problem,,1026
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Classification and Treatment for Greater than 2 Months and Less than 5 years,Total followup,,6507
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Classification and Treatment for Greater than 2 Months and Less than 5 years,Total Reffer,,119
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Classification and Treatment for Greater than 2 Months and Less than 5 years,Death,Pnumonia,2
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Classification and Treatment for Greater than 2 Months and Less than 5 years,Death,Diahorrea,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Classification and Treatment for Greater than 2 Months and Less than 5 years,Death,Total,2
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Classification and Treatment for Greater than 2 Months and Less than 5 years,Medicine,Cotrim,4512
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Classification and Treatment for Greater than 2 Months and Less than 5 years,Medicine,Other antibiotic,1561
