District,zone,belt,region,Year BS,Year AD,Conducted by,Institution,Number of women,Zone,Belt,Region
Bhojpur,Kosi,Hill,Eastern,2066/67,2009/10,Conducted by SBA,Health Institution,338,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2066/67,2009/10,Conducted by SBA,Home,21,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2066/67,2009/10,Conducted by health workers,Health Institution ,229,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2066/67,2009/10,Conducted by health workers,Home,719,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2066/67,2009/10,,At BEOC/CEOC centers,20,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2066/67,2009/10,Conducted by SBA,Health Institution,539,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2066/67,2009/10,Conducted by SBA,Home,91,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2066/67,2009/10,Conducted by health workers,Health Institution ,24,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2066/67,2009/10,Conducted by health workers,Home,319,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2066/67,2009/10,,At BEOC/CEOC centers,45,Kosi,Hill,Eastern
Ilam,Mechi,Hill,Eastern,2066/67,2009/10,Conducted by SBA,Health Institution,950,Mechi,Hill,Eastern
Ilam,Mechi,Hill,Eastern,2066/67,2009/10,Conducted by SBA,Home,60,Mechi,Hill,Eastern
Ilam,Mechi,Hill,Eastern,2066/67,2009/10,Conducted by health workers,Health Institution ,97,Mechi,Hill,Eastern
Ilam,Mechi,Hill,Eastern,2066/67,2009/10,Conducted by health workers,Home,912,Mechi,Hill,Eastern
Ilam,Mechi,Hill,Eastern,2066/67,2009/10,,At BEOC/CEOC centers,54,Mechi,Hill,Eastern
Jhapa,Mechi,Terai,Eastern,2066/67,2009/10,Conducted by SBA,Health Institution,9445,Mechi,Terai,Eastern
Jhapa,Mechi,Terai,Eastern,2066/67,2009/10,Conducted by SBA,Home,646,Mechi,Terai,Eastern
Jhapa,Mechi,Terai,Eastern,2066/67,2009/10,Conducted by health workers,Health Institution ,1530,Mechi,Terai,Eastern
Jhapa,Mechi,Terai,Eastern,2066/67,2009/10,Conducted by health workers,Home,973,Mechi,Terai,Eastern
