District Name,Zone,Ecological Belt,Development Region,Year (B.S),Year (A.D),Indicator,Sub-Indicator,Sub-Indicator,Value
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Temporary Methods,Condom,,750
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Temporary Methods,Pills,<20 Years,43
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Temporary Methods,Pills,Err:510,622
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Temporary Methods,Pills,Total,665
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Temporary Methods,Depo,<20 Years,284
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Temporary Methods,Depo,Err:510,1745
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Temporary Methods,Depo,Total,2029
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Temporary Methods,IUD,<20 Years,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Temporary Methods,IUD,Err:510,198
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Temporary Methods,IUD,Total,198
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Temporary Methods,Implant,<20 Years,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Temporary Methods,Implant,Err:510,88
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Temporary Methods,Implant,Total,88
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Temporary Methods,Total (Temporary Methods),Total,3730
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Temporary Methods,Condom,,1360
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Temporary Methods,Pills,<20 Years,80
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Temporary Methods,Pills,Err:510,837
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Temporary Methods,Pills,Total,917
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Temporary Methods,Depo,<20 Years,116
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Temporary Methods,Depo,Err:510,1959
