District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator,Sub-Indicator,Sub-Indicator,Sub-Indicator,Value
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,By regimen,Treatment regimen,,I,31468
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,By regimen,,,II,3221
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,By regimen,,,0-8 years,1781
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,By regimen,Total,,,36470
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,Male and Female together,Smear Positive,New,M + F,15096
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,Male and Female together,Smear Positive,Relapse,M + F,2227
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,Male and Female together,Smear Positive,Failure,M + F,252
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,Male and Female together,Smear Positive,RAD,M + F,209
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,Male and Female together,Smear Negative,,M + F,8364
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,Male and Female together,Extra Pulmonary,,M + F,8140
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,Male and Female together,Transfer in,,M + F,1039
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,Male and Female together,Other,,M + F,1143
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,Male and Female together,Total,,M + F,36470
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,Case detection per  population (100 T),,New S+,M + F,55
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,,,All,M + F,134
Panchthar,Mechi,Hill,Eastern,2069/70,2012/13,By regimen,Treatment regimen,,I,59
Panchthar,Mechi,Hill,Eastern,2069/70,2012/13,By regimen,,,II,4
Panchthar,Mechi,Hill,Eastern,2069/70,2012/13,By regimen,,,0-8 years,1
Panchthar,Mechi,Hill,Eastern,2069/70,2012/13,By regimen,Total,,,64
Panchthar,Mechi,Hill,Eastern,2069/70,2012/13,Male and Female together,Smear Positive,New,M + F,19
Panchthar,Mechi,Hill,Eastern,2069/70,2012/13,Male and Female together,Smear Positive,Relapse,M + F,4
Panchthar,Mechi,Hill,Eastern,2069/70,2012/13,Male and Female together,Smear Positive,Failure,M + F,0
Panchthar,Mechi,Hill,Eastern,2069/70,2012/13,Male and Female together,Smear Positive,RAD,M + F,0
