District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator,Value
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Malnutrition,973
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Avitaminoses and other nutri deficency,1912
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Polyneuritis,804
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Anaemia,1449
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,"Goitre, Cretinism",42
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Diabetic mellitis,211
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Obesity,7
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Dehydratioin,1794
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Night blindness,135
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Malnutrition,117
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Avitaminoses and other nutri deficency,1162
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Polyneuritis,1178
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Anaemia,797
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,"Goitre, Cretinism",84
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Diabetic mellitis,217
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Obesity,14
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Dehydratioin,758
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Night blindness,166
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Malnutrition,229
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Avitaminoses and other nutri deficency,1668
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Polyneuritis,1502
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Anaemia,1386
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,"Goitre, Cretinism",77
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Diabetic mellitis,246
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Obesity,90
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Dehydratioin,641
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Night blindness,128
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Malnutrition,233
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Avitaminoses and other nutri deficency,760
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Polyneuritis,523
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Anaemia,1347
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,"Goitre, Cretinism",85
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Diabetic mellitis,96
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Obesity,39
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Dehydratioin,1288
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Night blindness,176
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Malnutrition,326
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Avitaminoses and other nutri deficency,507
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Polyneuritis,582
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Anaemia,619
Morang,Kosi,Terai,Eastern,2068/69,2011/12,"Goitre, Cretinism",16
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Diabetic mellitis,12
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Obesity,36
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Dehydratioin,1253
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Night blindness,262
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Malnutrition,553
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Avitaminoses and other nutri deficency,1132
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Polyneuritis,373
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Anaemia,747
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,"Goitre, Cretinism",34
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Diabetic mellitis,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Obesity,2
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Dehydratioin,1139
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Night blindness,98
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Malnutrition,494
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Avitaminoses and other nutri deficency,3446
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Polyneuritis,1024
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Anaemia,2324
