District,zone,belt,region,Year BS,Year AD,Clinical Malaria/Total Treatment,Age group,Gender,Number of people,Zone,Belt,Region
Taplejung,Mechi,Mountain,Eastern,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,0,Mechi,Mountain,Eastern
Taplejung,Mechi,Mountain,Eastern,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,0,Mechi,Mountain,Eastern
Taplejung,Mechi,Mountain,Eastern,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,0,Mechi,Mountain,Eastern
Taplejung,Mechi,Mountain,Eastern,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,1,Mechi,Mountain,Eastern
Taplejung,Mechi,Mountain,Eastern,2067/68,2010/11,Total Treatment,Under 5 Years,Female,0,Mechi,Mountain,Eastern
Taplejung,Mechi,Mountain,Eastern,2067/68,2010/11,Total Treatment,5 Years & Above,Male,0,Mechi,Mountain,Eastern
Taplejung,Mechi,Mountain,Eastern,2067/68,2010/11,Total Treatment,Under 5 Years,Female,0,Mechi,Mountain,Eastern
Taplejung,Mechi,Mountain,Eastern,2067/68,2010/11,Total Treatment,5 Years & Above,Male,1,Mechi,Mountain,Eastern
Panchthar,Mechi,Hill,Eastern,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,6,Mechi,Hill,Eastern
Panchthar,Mechi,Hill,Eastern,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,8,Mechi,Hill,Eastern
Panchthar,Mechi,Hill,Eastern,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,16,Mechi,Hill,Eastern
Panchthar,Mechi,Hill,Eastern,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,33,Mechi,Hill,Eastern
Panchthar,Mechi,Hill,Eastern,2067/68,2010/11,Total Treatment,Under 5 Years,Female,6,Mechi,Hill,Eastern
Panchthar,Mechi,Hill,Eastern,2067/68,2010/11,Total Treatment,5 Years & Above,Male,8,Mechi,Hill,Eastern
Panchthar,Mechi,Hill,Eastern,2067/68,2010/11,Total Treatment,Under 5 Years,Female,16,Mechi,Hill,Eastern
