District Name,Zone,Ecological Belt,Development Region,Year (B.S),Year (A.D),Indicator,Sub-Indicator,Sub-Indicator,Sub-Indicator,Sub-Indicator,Value
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Government ,Institutions,Female,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Government ,Institutions,Male,22
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Government ,Camp,Female,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Government ,Camp,Male,13
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Non-government,Institutions,Female,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Non-government,Institutions,Male,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Non-government,Camp,Female,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Non-government,Camp,Male,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Total Strerilization,Camp,Male,35
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,New Acceptors,Total All Methods,Total Strerilization,Camp,Male,3765
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Distribution,Condom ,Total Strerilization,Camp,Male,112648
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Distribution,Pills ,Total Strerilization,Camp,Male,11818
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Distribution,Depo ,Total Strerilization,Camp,Male,11587
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Distribution,IUD ,Total Strerilization,Camp,Male,144
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Distribution,Norplant,Total Strerilization,Camp,Male,82
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Government ,Institutions,Female,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Government ,Institutions,Male,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Government ,Camp,Female,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Government ,Camp,Male,8
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Non-government,Institutions,Female,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Non-government,Institutions,Male,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Non-government,Camp,Female,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Non-government,Camp,Male,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Total Strerilization,Camp,Male,8
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,New Acceptors,Total All Methods,Total Strerilization,Camp,Male,4855
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Distribution,Condom ,Total Strerilization,Camp,Male,204135
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Distribution,Pills ,Total Strerilization,Camp,Male,21274
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Distribution,Depo ,Total Strerilization,Camp,Male,18120
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Distribution,IUD ,Total Strerilization,Camp,Male,345
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Distribution,Norplant,Total Strerilization,Camp,Male,179
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Government ,Institutions,Female,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Government ,Institutions,Male,1
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Government ,Camp,Female,11
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Government ,Camp,Male,20
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Non-government,Institutions,Female,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Non-government,Institutions,Male,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Non-government,Camp,Female,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Non-government,Camp,Male,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Total Strerilization,Camp,Male,32
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,New Acceptors,Total All Methods,Total Strerilization,Camp,Male,7468
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Distribution,Condom ,Total Strerilization,Camp,Male,305492
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Distribution,Pills ,Total Strerilization,Camp,Male,54839
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Distribution,Depo ,Total Strerilization,Camp,Male,40970
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Distribution,IUD ,Total Strerilization,Camp,Male,398
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Distribution,Norplant,Total Strerilization,Camp,Male,233
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Government ,Institutions,Female,64
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,New Acceptors,Sterilization,Government ,Institutions,Male,0
