Year,District,Type of disease,Number of patient
2011/012,Taplejung,Typhoid (Enteric Fever),3221
2011/012,Taplejung,Acute gastro enteritis,2415
2011/012,Taplejung,Ameobic Dysentry,3412
2011/012,Taplejung,Baccilary Dysentry,1414
2011/012,Taplejung,"Presumed non infectious
diarrhoea",2664
2011/012,Taplejung,Cholera,117
2011/012,Taplejung,Intestinal Worms,10658
2011/012,Taplejung,"Jaundice and Infective
Hepatitis",916
2011/012,Panchthar,Typhoid (Enteric Fever),1895
2011/012,Panchthar,Acute gastro enteritis,490
2011/012,Panchthar,Ameobic Dysentry,2990
2011/012,Panchthar,Baccilary Dysentry,72079
2011/012,Panchthar,"Presumed non infectious
diarrhoea",3893
2011/012,Panchthar,Cholera,0
2011/012,Panchthar,Intestinal Worms,6409
2011/012,Panchthar,"Jaundice and Infective
Hepatitis",391
2011/012,Ilam,Typhoid (Enteric Fever),2007
2011/012,Ilam,Acute gastro enteritis,1387
2011/012,Ilam,Ameobic Dysentry,2272
2011/012,Ilam,Baccilary Dysentry,644
2011/012,Ilam,"Presumed non infectious
diarrhoea",3424
2011/012,Ilam,Cholera,10
2011/012,Ilam,Intestinal Worms,6762
2011/012,Ilam,"Jaundice and Infective
Hepatitis",398
2011/012,Jhapa,Typhoid (Enteric Fever),14678
2011/012,Jhapa,Acute gastro enteritis,8287
2011/012,Jhapa,Ameobic Dysentry,12458
2011/012,Jhapa,Baccilary Dysentry,5932
2011/012,Jhapa,"Presumed non infectious
diarrhoea",7293
2011/012,Jhapa,Cholera,232
2011/012,Jhapa,Intestinal Worms,24981
2011/012,Jhapa,"Jaundice and Infective
Hepatitis",1978
2011/012,Morang,Typhoid (Enteric Fever),13635
2011/012,Morang,Acute gastro enteritis,10937
2011/012,Morang,Ameobic Dysentry,11119
2011/012,Morang,Baccilary Dysentry,6274
2011/012,Morang,"Presumed non infectious
diarrhoea",13085
2011/012,Morang,Cholera,2
2011/012,Morang,Intestinal Worms,18227
2011/012,Morang,"Jaundice and Infective
Hepatitis",1786
2011/012,Sunsari,Typhoid (Enteric Fever),4492
2011/012,Sunsari,Acute gastro enteritis,4172
2011/012,Sunsari,Ameobic Dysentry,14914
2011/012,Sunsari,Baccilary Dysentry,5455
2011/012,Sunsari,"Presumed non infectious
diarrhoea",20654
2011/012,Sunsari,Cholera,0
2011/012,Sunsari,Intestinal Worms,28408
2011/012,Sunsari,"Jaundice and Infective
Hepatitis",398
2011/012,Dhankuta,Typhoid (Enteric Fever),2762
2011/012,Dhankuta,Acute gastro enteritis,838
2011/012,Dhankuta,Ameobic Dysentry,4251
2011/012,Dhankuta,Baccilary Dysentry,736
2011/012,Dhankuta,"Presumed non infectious
diarrhoea",4492
2011/012,Dhankuta,Cholera,0
2011/012,Dhankuta,Intestinal Worms,7348
2011/012,Dhankuta,"Jaundice and Infective
Hepatitis",447
2011/012,Teharthum,Typhoid (Enteric Fever),1819
2011/012,Teharthum,Acute gastro enteritis,964
2011/012,Teharthum,Ameobic Dysentry,2984
2011/012,Teharthum,Baccilary Dysentry,1033
2011/012,Teharthum,"Presumed non infectious
diarrhoea",2037
2011/012,Teharthum,Cholera,2
2011/012,Teharthum,Intestinal Worms,5742
2011/012,Teharthum,"Jaundice and Infective
Hepatitis",355
2011/012,Sankhuwasabha,Typhoid (Enteric Fever),4742
2011/012,Sankhuwasabha,Acute gastro enteritis,1556
2011/012,Sankhuwasabha,Ameobic Dysentry,3028
2011/012,Sankhuwasabha,Baccilary Dysentry,1064
2011/012,Sankhuwasabha,"Presumed non infectious
diarrhoea",6360
2011/012,Sankhuwasabha,Cholera,90
2011/012,Sankhuwasabha,Intestinal Worms,9654
2011/012,Sankhuwasabha,"Jaundice and Infective
Hepatitis",328
2011/012,Bhojpur,Typhoid (Enteric Fever),4898
2011/012,Bhojpur,Acute gastro enteritis,2537
2011/012,Bhojpur,Ameobic Dysentry,6129
2011/012,Bhojpur,Baccilary Dysentry,2948
2011/012,Bhojpur,"Presumed non infectious
diarrhoea",6545
2011/012,Bhojpur,Cholera,0
2011/012,Bhojpur,Intestinal Worms,8096
2011/012,Bhojpur,"Jaundice and Infective
Hepatitis",538
2011/012,Solukhumbu,Typhoid (Enteric Fever),1934
2011/012,Solukhumbu,Acute gastro enteritis,3214
2011/012,Solukhumbu,Ameobic Dysentry,3892
2011/012,Solukhumbu,Baccilary Dysentry,2251
2011/012,Solukhumbu,"Presumed non infectious
diarrhoea",3491
2011/012,Solukhumbu,Cholera,0
2011/012,Solukhumbu,Intestinal Worms,10162
2011/012,Solukhumbu,"Jaundice and Infective
Hepatitis",345
2011/012,Okhaldhunga,Typhoid (Enteric Fever),4071
2011/012,Okhaldhunga,Acute gastro enteritis,2589
2011/012,Okhaldhunga,Ameobic Dysentry,4545
2011/012,Okhaldhunga,Baccilary Dysentry,2200
