District,Year,Mental problem,Number of patients
Bhojpur,2066/67,Depression,32
Bhojpur,2066/67,Psychosis,6
Bhojpur,2066/67,Anxiety (Neurosis,31
Bhojpur,2066/67,Mental retardation,4
Bhojpur,2066/67,"Conversive disorder
(Hysteria)",10
Bhojpur,2066/67,Alcoholism,24
Bhojpur,2066/67,Epilesy,75
Dhankuta,2066/67,Depression,27
Dhankuta,2066/67,Psychosis,0
Dhankuta,2066/67,Anxiety (Neurosis,19
Dhankuta,2066/67,Mental retardation,1
Dhankuta,2066/67,"Conversive disorder
(Hysteria)",5
Dhankuta,2066/67,Alcoholism,11
Dhankuta,2066/67,Epilesy,6
Ilam,2066/67,Depression,214
Ilam,2066/67,Psychosis,51
Ilam,2066/67,Anxiety (Neurosis,271
Ilam,2066/67,Mental retardation,4
Ilam,2066/67,"Conversive disorder
(Hysteria)",103
Ilam,2066/67,Alcoholism,89
Ilam,2066/67,Epilesy,51
Jhapa,2066/67,Depression,643
Jhapa,2066/67,Psychosis,136
Jhapa,2066/67,Anxiety (Neurosis,1044
Jhapa,2066/67,Mental retardation,32
Jhapa,2066/67,"Conversive disorder
(Hysteria)",133
Jhapa,2066/67,Alcoholism,256
Jhapa,2066/67,Epilesy,57
Khotang,2066/67,Depression,126
Khotang,2066/67,Psychosis,21
Khotang,2066/67,Anxiety (Neurosis,363
Khotang,2066/67,Mental retardation,41
Khotang,2066/67,"Conversive disorder
(Hysteria)",94
Khotang,2066/67,Alcoholism,142
Khotang,2066/67,Epilesy,30
Morang,2066/67,Depression,1435
Morang,2066/67,Psychosis,206
Morang,2066/67,Anxiety (Neurosis,1256
Morang,2066/67,Mental retardation,522
Morang,2066/67,"Conversive disorder
(Hysteria)",397
Morang,2066/67,Alcoholism,777
Morang,2066/67,Epilesy,812
Okhaldhunga,2066/67,Depression,1771
Okhaldhunga,2066/67,Psychosis,262
Okhaldhunga,2066/67,Anxiety (Neurosis,625
Okhaldhunga,2066/67,Mental retardation,18
Okhaldhunga,2066/67,"Conversive disorder
(Hysteria)",26
Okhaldhunga,2066/67,Alcoholism,74
Okhaldhunga,2066/67,Epilesy,552
Panchthar,2066/67,Depression,82
Panchthar,2066/67,Psychosis,8
Panchthar,2066/67,Anxiety (Neurosis,56
Panchthar,2066/67,Mental retardation,7
Panchthar,2066/67,"Conversive disorder
(Hysteria)",9
Panchthar,2066/67,Alcoholism,12
Panchthar,2066/67,Epilesy,1
Sankhuwasabha,2066/67,Depression,123
Sankhuwasabha,2066/67,Psychosis,14
Sankhuwasabha,2066/67,Anxiety (Neurosis,179
Sankhuwasabha,2066/67,Mental retardation,23
Sankhuwasabha,2066/67,"Conversive disorder
(Hysteria)",35
Sankhuwasabha,2066/67,Alcoholism,40
Sankhuwasabha,2066/67,Epilesy,55
Saptari,2066/67,Depression,254
Saptari,2066/67,Psychosis,4
Saptari,2066/67,Anxiety (Neurosis,88
Saptari,2066/67,Mental retardation,17
Saptari,2066/67,"Conversive disorder
(Hysteria)",6
Saptari,2066/67,Alcoholism,11
Saptari,2066/67,Epilesy,8
Siraha,2066/67,Depression,229
Siraha,2066/67,Psychosis,84
Siraha,2066/67,Anxiety (Neurosis,126
Siraha,2066/67,Mental retardation,63
Siraha,2066/67,"Conversive disorder
(Hysteria)",57
Siraha,2066/67,Alcoholism,137
Siraha,2066/67,Epilesy,84
Solukhumbu,2066/67,Depression,69
Solukhumbu,2066/67,Psychosis,14
Solukhumbu,2066/67,Anxiety (Neurosis,29
Solukhumbu,2066/67,Mental retardation,1
Solukhumbu,2066/67,"Conversive disorder
(Hysteria)",9
Solukhumbu,2066/67,Alcoholism,31
Solukhumbu,2066/67,Epilesy,225
Sunsari,2066/67,Depression,214
Sunsari,2066/67,Psychosis,3
Sunsari,2066/67,Anxiety (Neurosis,40
Sunsari,2066/67,Mental retardation,3
Sunsari,2066/67,"Conversive disorder
(Hysteria)",3
Sunsari,2066/67,Alcoholism,47
Sunsari,2066/67,Epilesy,8
Taplejung,2066/67,Depression,46
Taplejung,2066/67,Psychosis,12
Taplejung,2066/67,Anxiety (Neurosis,276
Taplejung,2066/67,Mental retardation,25
Taplejung,2066/67,"Conversive disorder
(Hysteria)",146
Taplejung,2066/67,Alcoholism,188
Taplejung,2066/67,Epilesy,74
Teharthum,2066/67,Depression,45
Teharthum,2066/67,Psychosis,3
Teharthum,2066/67,Anxiety (Neurosis,153
Teharthum,2066/67,Mental retardation,10
Teharthum,2066/67,"Conversive disorder
(Hysteria)",3
Teharthum,2066/67,Alcoholism,8
Teharthum,2066/67,Epilesy,11
Udaypur,2066/67,Depression,92
Udaypur,2066/67,Psychosis,11
Udaypur,2066/67,Anxiety (Neurosis,140
Udaypur,2066/67,Mental retardation,8
Udaypur,2066/67,"Conversive disorder
(Hysteria)",40
Udaypur,2066/67,Alcoholism,63
Udaypur,2066/67,Epilesy,52
Bara,2066/67,Depression,48
Bara,2066/67,Psychosis,12
Bara,2066/67,Anxiety (Neurosis,149
Bara,2066/67,Mental retardation,8
Bara,2066/67,"Conversive disorder
(Hysteria)",16
Bara,2066/67,Alcoholism,9
Bara,2066/67,Epilesy,23
Bhaktapur,2066/67,Depression,110
Bhaktapur,2066/67,Psychosis,17
Bhaktapur,2066/67,Anxiety (Neurosis,90
Bhaktapur,2066/67,Mental retardation,4
Bhaktapur,2066/67,"Conversive disorder
(Hysteria)",26
Bhaktapur,2066/67,Alcoholism,83
Bhaktapur,2066/67,Epilesy,110
Chitwan,2066/67,Depression,831
Chitwan,2066/67,Psychosis,188
Chitwan,2066/67,Anxiety (Neurosis,454
Chitwan,2066/67,Mental retardation,123
Chitwan,2066/67,"Conversive disorder
(Hysteria)",393
Chitwan,2066/67,Alcoholism,408
Chitwan,2066/67,Epilesy,103
Dhading,2066/67,Depression,287
Dhading,2066/67,Psychosis,22
Dhading,2066/67,Anxiety (Neurosis,200
Dhading,2066/67,Mental retardation,13
Dhading,2066/67,"Conversive disorder
(Hysteria)",83
Dhading,2066/67,Alcoholism,69
Dhading,2066/67,Epilesy,215
Dhanusha,2066/67,Depression,210
Dhanusha,2066/67,Psychosis,33
Dhanusha,2066/67,Anxiety (Neurosis,134
Dhanusha,2066/67,Mental retardation,10
Dhanusha,2066/67,"Conversive disorder
(Hysteria)",9
Dhanusha,2066/67,Alcoholism,77
Dhanusha,2066/67,Epilesy,7
Dolkha,2066/67,Depression,178
Dolkha,2066/67,Psychosis,43
Dolkha,2066/67,Anxiety (Neurosis,164
Dolkha,2066/67,Mental retardation,21
Dolkha,2066/67,"Conversive disorder
(Hysteria)",103
Dolkha,2066/67,Alcoholism,96
Dolkha,2066/67,Epilesy,247
Kathmandu,2066/67,Depression,1622
Kathmandu,2066/67,Psychosis,512
Kathmandu,2066/67,Anxiety (Neurosis,477
Kathmandu,2066/67,Mental retardation,170
Kathmandu,2066/67,"Conversive disorder
(Hysteria)",290
Kathmandu,2066/67,Alcoholism,888
