District,zone,belt,region,Year BS,Year AD,Type of disease,Number of patients,Zone,Belt,Region
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Acute Encephalitis like syndrome (AES),13,Mechi,Mountain,Eastern
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Filariasis,4,Mechi,Mountain,Eastern
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Clinical Malaria,33,Mechi,Mountain,Eastern
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Malaria (PF),0,Mechi,Mountain,Eastern
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Malaria,0,Mechi,Mountain,Eastern
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Dengue Fever,0,Mechi,Mountain,Eastern
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Kala-azar,0,Mechi,Mountain,Eastern
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Acute Encephalitis like syndrome (AES),0,Mechi,Hill,Eastern
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Filariasis,0,Mechi,Hill,Eastern
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Clinical Malaria,94,Mechi,Hill,Eastern
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Malaria (PF),8,Mechi,Hill,Eastern
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Malaria,0,Mechi,Hill,Eastern
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Dengue Fever,0,Mechi,Hill,Eastern
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Kala-azar,0,Mechi,Hill,Eastern
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Acute Encephalitis like syndrome (AES),6,Mechi,Hill,Eastern
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Filariasis,0,Mechi,Hill,Eastern
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Clinical Malaria,102,Mechi,Hill,Eastern
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Malaria (PF),3,Mechi,Hill,Eastern
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Malaria,7,Mechi,Hill,Eastern
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Dengue Fever,0,Mechi,Hill,Eastern
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Kala-azar,0,Mechi,Hill,Eastern
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Acute Encephalitis like syndrome (AES),0,Mechi,Terai,Eastern
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Filariasis,26,Mechi,Terai,Eastern
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Clinical Malaria,2676,Mechi,Terai,Eastern
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Malaria (PF),77,Mechi,Terai,Eastern
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Malaria,124,Mechi,Terai,Eastern
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Dengue Fever,0,Mechi,Terai,Eastern
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Kala-azar,21,Mechi,Terai,Eastern
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Acute Encephalitis like syndrome (AES),36,Kosi,Terai,Eastern
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Filariasis,8,Kosi,Terai,Eastern
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Clinical Malaria,4289,Kosi,Terai,Eastern
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Malaria (PF),38,Kosi,Terai,Eastern
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Malaria,65,Kosi,Terai,Eastern
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Dengue Fever,0,Kosi,Terai,Eastern
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Kala-azar,1,Kosi,Terai,Eastern
